Nom;Catégorie;Energie (kcal);Protéines;Glucides;Lipides
Pâte feuillettée faite maison (au beurre), crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;364;5,2;29,4;24,7
Pâte feuilletée faite maison (avec graisse végétale), crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;358;5,2;29,4;24,1
Vol-au-vent au beurre;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;564;5,8;43,1;40,5
Flûte feuilletté;Snacks salés/Produits en pâte feuilletée;497;7,2;40,4;33,6
Légumes feuille (moyenne sans salade), à la vapeur  (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);23;1,6;2,3;0,3
Légumes feuille (moyenne sans salade), à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);25;1,7;2,5;0,3
Légumes feuille (moyenne sans salade), cuits (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);24;1,6;2,4;0,3
Salade verte (moyenne), crue;Légumes/Légumes frais;18;1,6;1,4;0,3
Fromage bleu (moyenne);Lait et produits laitiers/Fromage à pâte dure;361;19,1;0,2;31,5
Chou-fleur, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);27;2,5;2,4;0,3
Chou-fleur, cru;Légumes/Légumes frais;26;2,4;2,3;0,3
Boudin;Produits carnés et charcuterie/Produits de charcuterie cuits;151;10,7;2,6;10,8
Haricot commun (tout type), grain mature, cuit (sans adjonction de graisse ni de sel);Produits céréaliers, légumineuses et pommes de terre/Légumineuses;114;7,8;15,2;0,6
Haricot commun (tout type), grain mature, sec;Produits céréaliers, légumineuses et pommes de terre/Légumineuses;305;20,9;40,7;1,5
Haricot (vert), à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);34;2,3;4;0,2
Haricot (vert) sec, cru;Légumes/Légumes secs;252;20,2;25,7;2
Haricot vert, cru;Légumes/Légumes frais;31;2,1;3,6;0,2
Sauce bolognaise;Divers/Sauces;96;6,3;8,3;4
Bouillon de viande, preparé;Plats/Potages et soupes;5;0,3;0,2;0,3
Bouillon de poule, preparé;Plats/Potages et soupes;5;0,3;0,3;0,3
Bouillon de légumes, preparé;Plats/Potages et soupes;6;0,3;0,4;0,4
Chocolat au lait, fourré à la crème de noisettes ;Sucreries/Chocolat et produits chocolatés;557;7,6;48,9;36
Eau-de-vie de céréales (p.ex. Whisky);Boissons alcoolisées/Spiritueux;252;0;0,1;0
Eau-de-vie de vin (p. ex. Cognac);Boissons alcoolisées/Spiritueux;240;0;2;0
Eau-de-vie de canne à sucre (p.ex. Rhum);Boissons alcoolisées/Spiritueux;234;0;0;0
Beurre à rôtir;"Graisses et huiles/Graisses;Lait et produits laitiers/Crème et beurre";885;0,1;0;98,3
Sauce de rôti, liée;Divers/Sauces;53;1,6;4,6;3
Sauce de rôti, claire;Divers/Sauces;44;1,5;3,5;2,5
Bresaola;Produits carnés et charcuterie/Produits de charcuterie crus;166;32,4;0,4;3,9
Brie, mi-gras;Lait et produits laitiers/Fromage à pâte molle;200;24;0;11,5
Brie, à la crème;Lait et produits laitiers/Fromage à pâte molle;335;16;0;30
Brie, gras;Lait et produits laitiers/Fromage à pâte molle;300;21,8;0;23,5
Brocoli, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);30;2,9;2,3;0,4
Brocoli, cru;Légumes/Légumes frais;31;3;2,4;0,4
Tarte aux mûres, cuite au four (pâte feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";135;2,8;12,9;7
Tarte aux mûres, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";126;3,2;15,1;4,9
Tarte aux mûres, cuite au four (pâte brisée sucrée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";199;3,2;19,1;11,3
Pain (moyenne);Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;265;9,2;44,6;4,7
Produits de charcuterie échaudés, fumés (moyenne);Produits carnés et charcuterie/Produits de charcuterie bouillis;263;14,3;0,4;22,7
Produits de charcuterie échaudés, non fumés (moyenne);Produits carnés et charcuterie/Produits de charcuterie bouillis;256;13,2;0,8;22,2
Cresson, cru;Légumes/Légumes frais;17;2,2;0,3;0,2
Brun de Bâle;Sucreries/Biscuits;493;12,7;41,5;28,9
Sarrasin, grains décortiqués;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;343;9,1;71;1,7
Farine de sarrasin;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;344;12;64,5;2,8
Soupe d'orge des Grisons;Plats/Potages et soupes;42;1,4;6,7;0,9
"Petit pain Bürli"" (farine mi-blanche)""";Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;216;8,6;41,6;1
Croissant blanc au beurre;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;432;8,8;43,5;24,2
Croissant au beurre, complet;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;366;6,4;38,7;19,8
