Nom;Catégorie;Energie (kcal);Protéines;Glucides;Lipides
Macarons aux noisettes;Sucreries/Biscuits;533;11,4;35,5;37
Bâtonnets aux noisettes;Sucreries/Biscuits;562;10,1;46,1;36,7
Brochet, cru;Poisson/Poissons d'eau douce;81;18,4;0;0,8
Pâte lévée (avec beurre), sucrée, crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;311;8,6;43,2;11,1
Pâte lévée (avec graisse végétale), sucrée, crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;304;9,1;40;11,5
Flétan, cru;Poisson/Poissons de mer;118;20,6;0;3,9
Jambon cuit de derrière;Produits carnés et charcuterie/Produits de charcuterie cuits;104;20,2;0,7;2,3
Cerf (moyenne), cru;Viande et abats/Gibier;112;20,6;0;3,3
Cerf, entrecôte, crue;Viande et abats/Gibier;111;23,1;0;2,1
Millet, grains décortiqués;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;357;9,8;68,8;3,9
Millet, flocons complets;Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;357;9,8;68,8;3,9
Potée au millet, cuite;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;145;3,6;24,9;3,1
Sauce hollandaise;Divers/Sauces;211;3;9,3;18
Miel (miel de fleurs);Sucreries/Confitures et produits à tartiner sucrés;306;0,4;76;0
Hot Dog en pain blanc avec ketchup et moutarde;Plats/Autres plats salés/épicés;230;9,1;32,3;6,7
Oeuf de poule, entier, cuit dur;Œufs;157;13,2;0,3;11,4
Oeuf de poule, entier, cru;Œufs;142;11,9;0,3;10,3
Jaune d'oeuf, cru;Œufs;350;16,5;0,2;31,5
Blanc d'oeuf, cru;Œufs;44;10,5;0,3;0,1
Légumineuses (moyenne), cuites (sans adjonction de sel ni de graisse);Produits céréaliers, légumineuses et pommes de terre/Légumineuses;138;9,7;16,4;2,6
Légumineuses (moyenne), séchées;Produits céréaliers, légumineuses et pommes de terre/Légumineuses;335;25,1;39,3;4,9
Cottage cheese (fromage frais granulé), nature;Lait et produits laitiers/Fromage frais et séré;101;12,7;2,4;4,5
Purée de pommes de terre, préparée (avec de l'eau et du beurre);Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;81;2;11,5;2,8
Sauce chasseur;Divers/Sauces;58;2,2;8;1,8
Sauce de salade au yogourt (sans huile);Graisses et huiles/Sauces à salade;68;3,7;5,7;3,3
Yogourt bifidus, nature;Lait et produits laitiers/Yogourt et lait acidulé;49;4,1;4,5;3,6
Yaourt sucré (moyenne);Lait et produits laitiers/Yogourt et lait acidulé;105;3,8;14,7;3,4
Yogourt maigre avec arômes, édulcoré;Lait et produits laitiers/Yogourt et lait acidulé;48;4,7;7;0,1
Yogourt maigre aux fruits, édulcoré;Lait et produits laitiers/Yogourt et lait acidulé;50;4,7;7;0,1
Yogourt aux fraises;Lait et produits laitiers/Yogourt et lait acidulé;101;3,5;15,2;2,7
Yogourt aux noisettes;Lait et produits laitiers/Yogourt et lait acidulé;119;3,9;15;4,6
Yogourt au café;Lait et produits laitiers/Yogourt et lait acidulé;100;3,8;14,1;3,1
Yogourt au café, bio;Lait et produits laitiers/Yogourt et lait acidulé;96;3,5;13,1;3,3
Yogourt, nature;Lait et produits laitiers/Yogourt et lait acidulé;66;4;4,5;3,6
Yogourt, nature, maigre;Lait et produits laitiers/Yogourt et lait acidulé;40;4,3;5,5;0,1
Yogourt au chocolat;Lait et produits laitiers/Yogourt et lait acidulé;120;4;16,9;3,9
Yogourt à la vanille;Lait et produits laitiers/Yogourt et lait acidulé;98;3,8;14;3
Tarte aux groseilles, cuite au four (pâtes feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";135;2,8;12,1;7,1
Tarte aux groseilles, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";127;3,2;14,3;5
Tarte aux groseilles, cuite au four (pâte brisée sucrée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";200;3,3;18,4;11,4
Café instantané, poudre;Boissons sans alcool/Café;253;11,2;42,6;0
Café, noir, non sucré;Boissons sans alcool/Café;2;0,1;0,3;0
Crème à café UHT;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";161;2,7;3,8;15
Cacao en poudre;"Sucreries/Chocolat et produits chocolatés;Boissons sans alcool/Boissons chocolatées";408;19,8;10,8;24,5
Veau, poitrine, cuite (sans adjonction de graisse ni de sel);Viande et abats/Veau;291;26,1;0;20,7
Veau, poitrine, crue;Viande et abats/Veau;204;18,3;0;14,5
Veau, noix, escalope, crue;Viande et abats/Veau;103;22,2;0;1,6
Veau, filet, cru;Viande et abats/Veau;119;21,2;0;3,8
Veau, haché, cru;Viande et abats/Veau;104;20,5;0;2,4
Veau, émincé, grillée ( (sans adjonction de graisse ni de sel);Viande et abats/Veau;132;29,7;0;1,5
Veau, émincé, cru;Viande et abats/Veau;98;22;0;1,1
Veau, jarret, cuite (sans adjonction de graisse ni de sel);Viande et abats/Veau;191;32,3;0;6,9
Veau, jarret, cru;Viande et abats/Veau;122;20,7;0;4,4
Veau, côtelette, crue;Viande et abats/Veau;161;20,7;0;8,7
Veau, foie, cru;Viande et abats/Veau;135;19,6;4,6;4,2
Veau, ris, cru;Viande et abats/Veau;99;17,2;0;3,4
Veau, rognon, cru;Viande et abats/Veau;112;15,8;1;5
"Veau, filet, steak, grillée mi-saignant"" (sans adjonction de graisse ni sel)""";Viande et abats/Veau;160;28,6;0;5,1
Veau, filet, steak, cru;Viande et abats/Veau;113;22,8;0;2,4
Veau, pièce ronde, tranche, cru;Viande et abats/Veau;104;21,9;0;1,8
Veau, épaule, rôti, cuit au four (sans adjonction de graisse ni de sel);Viande et abats/Veau;185;30,1;0;7,2
Veau, épaule, rôti, crue;Viande et abats/Veau;124;20,2;0;4,8
Veau, ragoût, cru;Viande et abats/Veau;102;20;0;2,4
Veau, langue, crue;Viande et abats/Veau;181;17,2;1,9;11,6
Viande de veau (moyenne sans abats ni côtelette), crue;Viande et abats/Veau;128;21,1;0;4,8
Saucisse de veau;Produits carnés et charcuterie/Produits de charcuterie bouillis;228;12,5;1,2;19,2
Piccata de veau, préparée;Plats/Autres plats salés/épicés;223;23,3;5,5;11,9
Veau, escalope, grillée (sans adjonction de graisse ni de sel);Viande et abats/Veau;140;30;0;2,2
Escalope de veau, grillée au colza HOLL;Viande et abats/Veau;196;28,2;0;9,2
Ragoût de veau avec sauce, préparé;Plats/Autres plats salés/épicés;91;11,6;3;3,5
Calamar, cru;Poisson/Fruits de mer et crustacés;83;16;2,3;1,1
Lapin (moyenne), cuit (sans adjonction de graisse ni de sel);Viande et abats/Autres espèces animales;205;28,1;0;10,3
Lapin (moyenne), cru;Viande et abats/Autres espèces animales;150;20,5;0;7,5
Lapin, filet, cru;Viande et abats/Autres espèces animales;111;24,3;0;1,5
Carotte, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);41;0,9;7,3;0,3
Carotte, crue;Légumes/Légumes frais;38;0,8;6,6;0,3
Jus de carotte;"Boissons sans alcool/Jus de fruits et de légumes;Légumes/Jus de légumes";33;0,7;6,8;0,1
Pomme de terre, épluchée, à la vapeur (sans adjonction de sel);Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;77;2;15,9;0,1
Pomme de terre, épluchée, crue;Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;76;2;15,6;0,1
Flocons de pomme de terre, avec poudre de lait et sel (purée instantanée);Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;366;11,3;65,5;5,4
Gratin de pommes de terre dauphinois, préparé;Plats/Tartes sucrées et salées et gratins;128;2,6;11,3;7,8
Gratin de pommes de terre savoyard, préparé;Plats/Tartes sucrées et salées et gratins;75;2,2;10,6;2,3
Salade de pommes de terre, sauce au vinaigre et huile;Plats/Salades;97;1,7;13,1;3,8
Salade de pommes de terre (sauce mayonnaise et yogourt);Plats/Salades;82;1,8;12,6;2,2
Fécule de pommes de terre;"Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;Divers/Gélifiants et liants";336;0,6;83,1;0,1
Purée de pommes de terre, préparée (avec de la crème et du beurre);Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;140;2;13,2;8,4
Purée de pommes de terre, préparée (avec du lait partiellement écrémeé et du beurre);Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;90;2,2;13,5;2,6
Purée de pommes de terre, préparée (avec du lait entier et du beurre);Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;91;2,2;13,5;2,8
Feta (lait de vache);"Lait et produits laitiers/Fromage frais et séré;Lait et produits laitiers/Fromage à pâte molle";262;17,5;1,4;20,7
Feta (lait de brebis et chèvre);"Lait et produits laitiers/Fromage frais et séré;Lait et produits laitiers/Fromage à pâte molle";243;17;1,5;18,8
Gateau au fromage, cuit au four (pâte feuilletée);Plats/Tartes sucrées et salées et gratins;304;14,4;11,7;22
Gateau au fromage, cuit au four (pâte à gateau);Plats/Tartes sucrées et salées et gratins;293;14,9;14,6;19,2
Beurre de fromagerie;"Graisses et huiles/Graisses;Lait et produits laitiers/Crème et beurre";746;0,4;0,6;82,5
Croûte au fromage, préparée;Plats/Autres plats salés/épicés;272;14,8;26;11,5
Kebab en fougasse;Plats/Sandwich;125;7,7;14,5;3,7
Pois mange-tout, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);77;4,6;11,4;0,2
Pois mange-tout, cru;Légumes/Légumes frais;68;4;10;0,2
Ketchup;Divers/Sauces;117;2;26;0,4
Pois chiche, cuit (sans adjonction de graisse ni de sel);Produits céréaliers, légumineuses et pommes de terre/Légumineuses;131;7,4;17,7;2
Pois chiche, sec;Produits céréaliers, légumineuses et pommes de terre/Légumineuses;327;18,6;44,3;4,9
Eau-de-vie de cerises (Kirsch);Boissons alcoolisées/Spiritueux;245;0;0;0
Cerise, cuite,  égouttée (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);86;1,5;17,6;0,6
Tarte aux cerises, cuite au four (pâte feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";154;3;18,9;7,1
Tarte aux cerises, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";146;3,4;21,1;5
Pain croustillant, au blé entier;Pains, flocons et céréales pour le petit-déjeuner/Pains croustillants, biscottes, crackers et gallettes;327;10,4;62,4;1,8
Pain croustillant, au blé entier, au grains de lin;Pains, flocons et céréales pour le petit-déjeuner/Pains croustillants, biscottes, crackers et gallettes;340;11,8;56,1;4,7
Pain croustillant, au blé entier, au sésame;Pains, flocons et céréales pour le petit-déjeuner/Pains croustillants, biscottes, crackers et gallettes;353;11,3;57,1;6,6
Ail, cru;Légumes/Légumes frais;136;7;24,5;0,5
Céleri-rave, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);30;1,6;2,6;0,3
Céleri-rave, cru;Légumes/Légumes frais;28;1,5;2,4;0,3
Farine à spätzli;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;350;12,4;70,5;1,2
Beurre de cuisine;"Graisses et huiles/Graisses;Lait et produits laitiers/Crème et beurre";745;0,5;0,7;82,2
Produits de salaison cuits (moyenne);Produits carnés et charcuterie/Produits de charcuterie cuits;222;19,8;0,7;15,6
Sel de cuisine avec iode;Divers/Sel, épices et arômes;0;0;0;0
Sel de cuisine avec iode et fluor;Divers/Sel, épices et arômes;0;0;0;0
Sel de cuisine sans iode ni fluor;Divers/Sel, épices et arômes;0;0;0;0
Lard à cuire, fumé;Produits carnés et charcuterie/Produits de charcuterie crus;322;17,8;0,6;27,6
Produits de charcuterie à chair cuite (moyenne);Produits carnés et charcuterie/Produits de charcuterie cuits;314;15,8;1,2;27,2
Légumes crucifères (famille des choux) moyenne, cuits (sans adjonction de sel ni de graisse);Légumes/Légumes cuits (conserves comprises);29;2,2;3;0,3
Légumes crucifères (famille des choux) moyenne, crus;Légumes/Légumes frais;29;2,2;3;0,3
Chou-pomme, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);30;2,1;4,1;0,2
Chou-pomme, cru;Légumes/Légumes frais;27;1,9;3,7;0,2
Huile de coco;Graisses et huiles/Graisses;894;0,8;0;99
Macaron au coco;Sucreries/Biscuits;554;5,9;35,8;40,2
Noix de coco;Noix, graines et produits oléagineux;497;8,9;16;42
Noix de coco, sèche ;Noix, graines et produits oléagineux;660;6,2;6,4;63,3
Lait condensé, sucré;Lait et produits laitiers/Lait;339;8;54,3;10
Lait condensé, non sucré;Lait et produits laitiers/Lait;132;6,5;9,7;7,5
Confiture;Sucreries/Confitures et produits à tartiner sucrés;246;0,5;58,7;0,5
Confiture, avec valeur énergétique réduite, édulcorée;Sucreries/Confitures et produits à tartiner sucrés;136;0,5;31,9;0,5
Laitue pommée, crue;Légumes/Légumes frais;14;1,2;1,1;0,2
Côtelette (moyenne de veau, boeuf, agneau), grillée (sans adjonction de graisse ni de sel);Viande et abats;250;30;0;14,4
Côtelette (moyenne de veau, porc, agneau), crue;"Viande et abats/Porc;Viande et abats/Veau;Viande et abats/Agneau, mouton";177;21,3;0;10,2
Crustacé, cru (moyen);Poisson/Fruits de mer et crustacés;75;15,5;1;1
Pâte à gateau (avec beurre), crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;329;6,8;38,7;15,9
Pâte à gateau (avec graisse végétale), crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;325;6,8;38,7;15,5
Piccata de courges, préparée;Plats/Autres plats salés/épicés;165;4,7;9;12
Graine de courge;Noix, graines et produits oléagineux;603;32,6;4,7;49,1
Tranches de courge, panées, préparées;Plats/Autres plats salés/épicés;140;4,4;16,7;5,8
Saumon fumé;Poisson/Poissons de mer;167;23,2;0;8,2
Saumon sauvage, cru;Poisson/Poissons de mer;182;19,7;0;11,5
Saumon, élevage, filet, à la vapeur (sans adjonction de graisse ni de sel);Poisson/Poissons de mer;251;24,9;0;16,8
Saumon d'élevage, cru;Poisson/Poissons de mer;200;19,9;0;13,4
"Agneau, filet, grillé à point"" (sans adjonction de graisse ni de sel)""";Viande et abats/Agneau, mouton;149;27,2;0;4,5
Agneau, filet, cru;Viande et abats/Agneau, mouton;112;20,4;0;3,4
Agneau, gigot, rôti (sans adjonction de graisse ni de sel);Viande et abats/Agneau, mouton;230;30,1;0;12,2
Agneau, gigot, cru (Suisse, Nouvelle-Zélande);Viande et abats/Agneau, mouton;155;20,2;0;8,2
Agneau, côtelette, crue (Suisse);Viande et abats/Agneau, mouton;179;20,2;0;10,9
Agneau, filet, cru (Australie, Nouvelle-Zélande);Viande et abats/Agneau, mouton;117;21,8;0;3,3
Agneau, rack, crue (Australie, Nouvelle-Zélande);Viande et abats/Agneau, mouton;156;20,3;0;8,3
Agneau, ragoût, cru (Suisse);Viande et abats/Agneau, mouton;154;19,6;0;8,4
Agneau/mouton (moyenne sans abats ni côtelette), cru;Viande et abats/Agneau, mouton;134;20,5;0;5,8
Ragoût d'agneau avec sauce, préparé;Plats/Autres plats salés/épicés;123;11,7;3,1;7
Gendarme;Produits carnés et charcuterie/Produits de charcuterie crus;491;26,6;0;42,7
Latte macchiato, non sucré;"Lait et produits laitiers/Boissons lactées et yogourts à boire;Boissons sans alcool/Café";47;2,3;3,2;2,8
Laitue, crue;Légumes/Légumes frais;16;1,2;1,3;0,3
Poireau, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);33;1,8;4,2;0,3
Poireau, cru;Légumes/Légumes frais;30;1,6;3,7;0,3
Petit pain de Sils;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;277;8,8;48,4;4,8
Bretzel, sticks salés, secs;Snacks salés/Sticks salés et bretzels;360;8,6;72,1;4
Croissant de Sils;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;419;8,7;38,9;25
Foie (moyenne de veau, boeuf, porc, poulet), cru;"Viande et abats/Volaille;Viande et abats/Veau;Viande et abats/Bœuf;Viande et abats/Porc";226;17,8;2,8;15,9
Foie (moyenne de boeuf, veau, porc, volaille), grillé (sans adjonction de graisse ni de sel);Viande et abats;275;21,7;3,4;19,4
Boudin blanc;Produits carnés et charcuterie/Produits de charcuterie cuits;292;20,8;0,5;22,9
Pain d'épice;Sucreries/Autres articles de pâtisserie;405;6,5;61,6;13,8
Pain d'épice, enrobé de chocolat;Sucreries/Autres articles de pâtisserie;445;6,5;60,2;19
Graine de lin;Noix, graines et produits oléagineux;472;17,9;10,8;33,6
Lemon Curd;Sucreries/Crèmes et pouding;320;6;37,5;16,2
Limburger/Münster;Lait et produits laitiers/Fromage à pâte dure;275;20,4;0;21,4
Limonade, avec arômes, sucrée;Boissons sans alcool/Boissons sucrées;38;0;9,5;0
Lentille, entière, cuite (sans adjonction de graisse ni de sel);Produits céréaliers, légumineuses et pommes de terre/Légumineuses;121;8,8;18,5;0,4
Lentille, entière, sèche;Produits céréaliers, légumineuses et pommes de terre/Légumineuses;324;24,4;44,8;1,5
Lentille, décortiquée, cuite (sans adjonction de graisse ni de sel);Produits céréaliers, légumineuses et pommes de terre/Légumineuses;139;11,3;20;0,6
Lentille, décortiquée, sèche;Produits céréaliers, légumineuses et pommes de terre/Légumineuses;334;27;48;1,5
Tourte de Linz;Sucreries/Gâteaux, tourtes et cakes;425;7,5;43,7;23,6
Pélerines;Sucreries/Biscuits;414;12,2;71,8;8,3
Luganiga;Produits carnés et charcuterie/Produits de charcuterie crus;459;17,1;0,5;43
Saucisse de Lyon;Produits carnés et charcuterie/Produits de charcuterie bouillis;244;11,5;0,5;21,8
Madeleines;Sucreries/Autres articles de pâtisserie;346;7,5;52,2;11,6
Lait écrémé, UHT;Lait et produits laitiers/Lait;33;3,4;4,7;0,1
Lait écrémé en poudre;Lait et produits laitiers/Lait;356;35,5;51,5;0,9
Milanais;Sucreries/Biscuits;431;7,1;53,1;20,8
Chips de maïs;Snacks salés/Chips;509;7,8;56;27,2
Maïs doux, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);105;3,8;17,8;1,4
Maïs doux, cru;Légumes/Légumes frais;92;3,3;15,7;1,2
Semoule de maïs, cuite;Produits céréaliers, légumineuses et pommes de terre/Maïs;79;2;16,7;0,2
Semoule de maïs (polenta), sèche;Produits céréaliers, légumineuses et pommes de terre/Maïs;350;8,8;73,8;1,1
Huile de maïs;Graisses et huiles/Huiles;809;0;0;89,9
Maïs doux en épis au vinaigre;Légumes/Légumes cuits (conserves comprises);119;3,4;21;1,4
Fécule de maïs;"Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;Divers/Gélifiants et liants";354;0,3;88;0
Amande;Noix, graines et produits oléagineux;576;21,2;4;49,9
Amande, grillée, salée;Snacks salés/Noix et graines salées;631;21,2;7,2;55,2
Amande, grillée sans graisse, salée;Snacks salés/Noix et graines salées;620;22,1;10,3;52,1
Bette, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);31;2,8;3,6;0,3
Bette, crue;Légumes/Légumes frais;23;2,1;2,7;0,2
Margarine;Graisses et huiles/Graisses;724;0,5;0,5;80
Cake marbré;Sucreries/Gâteaux, tourtes et cakes;357;7,3;42,6;17,2
Massepain;Sucreries/Autres sucreries;467;6,1;68,6;17,6
Mascarpone;Lait et produits laitiers/Fromage frais et séré;453;7,6;0;47
Mayonnaise;Graisses et huiles/Mayonnaises;742;1,1;0,5;81,7
Mayonnaise, avec valeur énergétique réduite;Graisses et huiles/Mayonnaises;327;0,9;3,2;34,5
Mayonnaise, préparée à la maison avec de l'huile de colza;Graisses et huiles/Mayonnaises;791;2,4;0,2;86,7
Farine (moyenne);Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;343;12,4;67,8;1,4
Farine claire (moyenne);Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;344;12,2;68,9;1,3
Omelette à la farine aux champignons, préparée;Plats/Autres plats salés/épicés;124;5,3;10,8;6,3
Omelette à la farine aux légumes, préparée;Plats/Autres plats salés/épicés;137;5,7;16,2;5,2
Omelette à la farine au fromage, préparée;Plats/Autres plats salés/épicés;196;10;18,2;9
Omelette à la farine au Nutella, préparée;Plats/Autres plats sucrés;259;7,1;29;12,4
Omelette à la farine au jambon, préparée;Plats/Autres plats salés/épicés;157;9,8;17,3;5,2
Omelette à la farine au lard, préparée;Plats/Autres plats salés/épicés;194;9,3;17,3;9,5
Omelette à la farine au sucre et cannelle, préparée;Plats/Autres plats sucrés;178;7,1;24,5;5,5
Omelette à la farine, préparée;Plats/Autres plats salés/épicés;166;7,5;20,4;5,8
Mélasse, sirop de mélasse;Sucreries/Confitures et produits à tartiner sucrés;274;1,2;67,2;0
Meringue;Sucreries/Autres sucreries;400;5;94;0,5
Moule, crue;Poisson/Fruits de mer et crustacés;85;11,7;3,4;2,7
Lait (en moyenne);Lait et produits laitiers/Lait;62;3,3;4,6;3,4
Café au lait (foncé), non sucré;"Lait et produits laitiers/Boissons lactées et yogourts à boire;Boissons sans alcool/Café";16;0,8;1,2;0,9
Café au lait (claire), non sucré;"Lait et produits laitiers/Boissons lactées et yogourts à boire;Boissons sans alcool/Café";22;1,1;1,6;1,2
Café au lait, non sucré;"Lait et produits laitiers/Boissons lactées et yogourts à boire;Boissons sans alcool/Café";20;1;1,4;1,1
Riz au lait, préparé (avec du lait partiellement écrémé);Sucreries/Crèmes et pouding;132;5,4;19,5;3,5
Riz au lait, préparé (avec du lait entier);Sucreries/Crèmes et pouding;144;5,2;19,5;5
Chocolat au lait;Sucreries/Chocolat et produits chocolatés;537;6,5;56,9;31,1
Chocolat au lait fourré à l‘alcool;Sucreries/Chocolat et produits chocolatés;488;5,4;59,1;23
Chocolat au lait fourré à la crème (Gianduja, Nougat);Sucreries/Chocolat et produits chocolatés;571;6,9;47,2;38,5
Chocolat au lait, avec nougat aux amandes et au miel;Sucreries/Chocolat et produits chocolatés;534;7;54,7;31,4
Chocolat au lait, avec noisettes;Sucreries/Chocolat et produits chocolatés;566;8,4;45,6;38,1
Chocolat au lait avec raisins secs, noisettes et amandes;Sucreries/Chocolat et produits chocolatés;511;7,5;51,2;29,6
Minestrone;Plats/Potages et soupes;53;2;7;1,8
Saucisse type Minipic;Produits carnés et charcuterie/Produits de charcuterie crus;460;26,1;0,8;39,1
Mirabelle, cuite,  égouttée (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);65;0,8;13,8;0,2
Olives farcies avec de la viande hachée, frites;Snacks salés/Autres snacks salés;320;14,1;32,3;14
Petit lait, doux;Lait et produits laitiers/Boissons lactées et yogourts à boire;24;0,8;4,7;0,2
Morille, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Champignons;31;2,1;0,6;0,4
Morille, crue;Légumes/Champignons;26;1,7;0,5;0,3
Mortadella;Produits carnés et charcuterie/Produits de charcuterie bouillis;305;15,7;0,8;26,6
Mostbröckli;Produits carnés et charcuterie/Produits de charcuterie crus;150;32,6;0,5;1,9
Mozzarella;"Lait et produits laitiers/Fromage à pâte molle;Lait et produits laitiers/Fromage frais et séré";253;18,7;0,7;19,5
Pâte brisée (avec beurre), sucrée, crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;424;7,8;45,8;22,9
Pâte brisée (avec graisse végétale), sucrée, crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;419;7,8;45,8;22,4
Petit pain;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;254;8,7;51,8;0,8
Nasi Goreng, préparé;Plats/Plats asiatiques;126;11;16,1;1,9
Croissant aux noisettes, pâte feuilletée;Sucreries/Autres articles de pâtisserie;416;6,6;35,6;26,9
Croissant aux noisette, pâte levée;Sucreries/Autres articles de pâtisserie;315;7,5;41,5;12,6
Mâche, crue;Légumes/Légumes frais;23;2;2;0,4
Escargot aux noisette, pâte levée;Sucreries/Autres articles de pâtisserie;442;12;54,4;18,7
Frites au four, surgelées;Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;127;1,8;18,2;4,9
Olive, verte;Noix, graines et produits oléagineux;126;1,3;0;12,5
Olive, noire;Noix, graines et produits oléagineux;150;0,9;3;14
Huile d'olive;Graisses et huiles/Huiles;809;0;0;89,9
Nectar d'orange;"Boissons sans alcool/Boissons sucrées;Boissons sans alcool/Jus de fruits et de légumes";44;0,4;10,5;0
Jus d'orange;"Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes";51;0,5;11,1;0,5
Jus d'orange, enrichi de vitamine C;"Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes";55;0,5;12;0,5
Graisse de palme - Huile de palme;"Graisses et huiles/Huiles;Graisses et huiles/Graisses";799;0;0;88,8
Pancetta;Produits carnés et charcuterie/Produits de charcuterie crus;467;19,5;0,4;43
Panettone;Sucreries/Autres articles de pâtisserie;354;6,4;56,5;10,7
Chapelure;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;370;14,2;71,8;1,9
Pantli;Produits carnés et charcuterie/Produits de charcuterie crus;538;21,1;0,9;50
Paprika (épice);Divers/Sel, épices et arômes;358;14,8;34,9;13
Noix du Brésil;Noix, graines et produits oléagineux;692;16,6;3,2;66,5
Baguette parisienne ;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;254;9;51,1;0,9
Parmesan;Lait et produits laitiers/Fromage à pâte dure;374;36;0;25,6
Pâté de campagne;Produits carnés et charcuterie/Produits de charcuterie cuits;391;13,2;1;36,9
Poivron, vert, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);26;1;3,4;0,4
Poivron, vert, cru;Légumes/Légumes frais;20;0,8;2,6;0,3
Poivron, rouge, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);42;1,2;6,8;0,5
Poivron, rouge, cru;Légumes/Légumes frais;32;0,9;5,2;0,4
Persil, cru;Légumes/Herbes aromatiques;56;3,9;6,8;0,5
Menthe, crue;Légumes/Herbes aromatiques;49;3,8;5,3;0,7
"Cheval, filet, grillé à point"" (sans adjonction de graisse ni de sel)""";Viande et abats/Autres espèces animales;141;29,3;0;2,6
Cheval, filet, cru;Viande et abats/Autres espèces animales;103;21,4;0;1,9
Ragoût de cheval avec sauce, préparé;Plats/Autres plats salés/épicés;94;12,7;3,1;3,3
Pêche, sucrée, conserve;Fruits/Fruits cuits (conserves comprises);83;0,4;19;0,2
Pêche, non sucrée, conserve;Fruits/Fruits cuits (conserves comprises);48;0,5;10;0,2
Pruneau, cuite,  égouttée (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);59;0,7;12,6;0,2
Pruneau, sec;Fruits/Fruits secs;204;2,5;39,8;0,3
Tarte aux prunes, cuite au four (pâte feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";137;2,5;15,5;6,9
Tarte aux prunes, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";129;2,9;17,8;4,8
Champignons (moyenne), à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Champignons;31;2,9;0,7;0,5
Champignons (moyenne), crus;Légumes/Champignons;25;2,4;0,6;0,4
Risotto au champignon, cuit;Plats/Autres plats salés/épicés;126;4;18,7;3,6
Sauce aux champignons, liée;Divers/Sauces;82;3,6;7,6;4
Soupe velouté de champignons;Plats/Potages et soupes;38;1,1;5,5;1,2
Pignon de pin;Noix, graines et produits oléagineux;594;31,6;13,9;44,9
Pistache;Noix, graines et produits oléagineux;580;20,3;17,6;45,4
